Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 07/21  02:30:00,18.388,0.0,0.0,0.0,0.0,0.0,0.0,30.79096591775848,17.029696100104485,25.796770765913779,19.98174814563083,31.598883774187845 
 07/21  02:45:00,18.274000000000006,0.0,0.0,0.0,0.0,0.0,0.0,30.696564517218364,16.91844822056674,25.696823953890659,19.874111765772,31.505945586598356 
 07/21  03:00:00,18.160000000000005,0.0,0.0,0.0,0.0,0.0,0.0,30.602285964035706,16.80719597053881,25.597024058972694,19.766536938030869,31.413175677116557 
 07/21  03:15:00,18.046000000000004,0.0,0.0,0.0,0.0,0.0,0.0,30.50800969042041,16.695938350340229,25.497272867055757,19.658980059527779,31.320391256814739 
 07/21  03:30:00,17.932000000000003,0.0,0.0,0.0,0.0,0.0,0.0,30.41366979137683,16.584675672165827,25.39750358237211,19.551413089287736,31.227532535850707 
 07/21  03:45:00,17.818000000000006,0.0,0.0,0.0,0.0,0.0,0.0,30.319247822576015,16.47340918114689,25.297686416947557,19.44382362509981,31.134592827733426 
 07/21  04:00:00,17.704,0.0,0.0,0.0,0.0,0.0,0.0,30.224743463447905,16.362139607632885,25.19781487046339,19.336208997191194,31.041574884778446 
 07/21  04:15:00,17.628,0.0,0.0,0.0,0.0,0.0,0.0,30.13388768857589,16.28719921110482,25.111115508892796,19.25530022430837,30.94924963081253 
 07/21  04:30:00,17.552,0.0,0.0,0.0,0.0,0.0,0.0,30.042994423486428,16.212198325216634,25.025521797150078,19.175769277066367,30.857883433081143 
 07/21  04:45:00,17.476000000000004,0.0,0.0,0.0,0.0,0.0,0.0,29.95257281253675,16.137231733815886,24.940111654278213,19.09636620517415,30.767194218715919 
